node_id,x,y
894,0.46875,0.9375
895,0.40625,0.9375
896,0.4375,0.90625
897,0.21875,0.1875
898,0.1875,0.21875
899,0.1875,0.15625
900,0.15625,0.1875
901,0.3125,0.28125
902,0.28125,0.3125
903,0.34375,0.3125
904,0.3125,0.34375
905,0.28125,0.1875
906,0.3125,0.21875
907,0.3125,0.15625
908,0.34375,0.1875
909,0.1875,0.28125
910,0.21875,0.3125
911,0.15625,0.3125
912,0.1875,0.34375
913,0.78125,0.1875
914,0.8125,0.21875
915,0.8125,0.15625
916,0.84375,0.1875
917,0.6875,0.28125
918,0.71875,0.3125
919,0.65625,0.3125
920,0.6875,0.34375
921,0.71875,0.1875
922,0.6875,0.21875
923,0.6875,0.15625
924,0.65625,0.1875
925,0.8125,0.28125
926,0.78125,0.3125
927,0.84375,0.3125
928,0.8125,0.34375
929,0.8125,0.78125
930,0.78125,0.8125
931,0.84375,0.8125
932,0.8125,0.84375
933,0.71875,0.6875
934,0.6875,0.71875
935,0.6875,0.65625
936,0.65625,0.6875
937,0.8125,0.71875
938,0.78125,0.6875
939,0.84375,0.6875
940,0.8125,0.65625
941,0.71875,0.8125
942,0.6875,0.78125
943,0.6875,0.84375
944,0.65625,0.8125
945,0.1875,0.78125
946,0.21875,0.8125
947,0.15625,0.8125
948,0.1875,0.84375
949,0.28125,0.6875
950,0.3125,0.71875
951,0.3125,0.65625
952,0.34375,0.6875
953,0.1875,0.71875
954,0.21875,0.6875
955,0.15625,0.6875
956,0.1875,0.65625
957,0.28125,0.8125
958,0.3125,0.78125
959,0.3125,0.84375
960,0.34375,0.8125
961,0.1875,0.03125
962,0.21875,0.0625
963,0.15625,0.0625
964,0.1875,0.09375
965,0.3125,0.03125
966,0.28125,0.0625
967,0.34375,0.0625
968,0.3125,0.09375
969,0.03125,0.1875
970,0.0625,0.21875
971,0.0625,0.15625
972,0.09375,0.1875
973,0.03125,0.3125
974,0.0625,0.28125
975,0.0625,0.34375
976,0.09375,0.3125
977,0.8125,0.03125
978,0.78125,0.0625
979,0.84375,0.0625
980,0.8125,0.09375
981,0.6875,0.03125
982,0.71875,0.0625
983,0.65625,0.0625
984,0.6875,0.09375
985,0.96875,0.1875
986,0.9375,0.21875
987,0.9375,0.15625
988,0.90625,0.1875
989,0.96875,0.3125
990,0.9375,0.28125
991,0.9375,0.34375
992,0.90625,0.3125
993,0.96875,0.8125
994,0.9375,0.78125
995,0.9375,0.84375
996,0.90625,0.8125
997,0.96875,0.6875
998,0.9375,0.71875
999,0.9375,0.65625
1000,0.90625,0.6875
1001,0.8125,0.96875
1002,0.78125,0.9375
1003,0.84375,0.9375
1004,0.8125,0.90625
1005,0.6875,0.96875
1006,0.71875,0.9375
1007,0.65625,0.9375
1008,0.6875,0.90625
1009,0.03125,0.8125
1010,0.0625,0.78125
1011,0.0625,0.84375
1012,0.09375,0.8125
1013,0.03125,0.6875
1014,0.0625,0.71875
1015,0.0625,0.65625
1016,0.09375,0.6875
1017,0.1875,0.96875
1018,0.21875,0.9375
1019,0.15625,0.9375
1020,0.1875,0.90625
1021,0.3125,0.96875
1022,0.28125,0.9375
1023,0.34375,0.9375
1024,0.3125,0.90625
1025,0.46875,0.3125
1026,0.4375,0.28125
1027,0.4375,0.34375
1028,0.40625,0.3125
1029,0.53125,0.3125
1030,0.5625,0.28125
1031,0.5625,0.34375
1032,0.59375,0.3125
1033,0.46875,0.1875
1034,0.4375,0.21875
1035,0.4375,0.15625
1036,0.40625,0.1875
1037,0.53125,0.1875
1038,0.5625,0.21875
1039,0.5625,0.15625
1040,0.59375,0.1875
1041,0.3125,0.46875
1042,0.28125,0.4375
1043,0.34375,0.4375
1044,0.3125,0.40625
1045,0.3125,0.53125
1046,0.28125,0.5625
1047,0.34375,0.5625
1048,0.3125,0.59375
1049,0.1875,0.46875
1050,0.21875,0.4375
1051,0.15625,0.4375
1052,0.1875,0.40625
1053,0.1875,0.53125
1054,0.21875,0.5625
1055,0.15625,0.5625
1056,0.1875,0.59375
1057,0.6875,0.46875
1058,0.71875,0.4375
1059,0.65625,0.4375
1060,0.6875,0.40625
1061,0.6875,0.53125
1062,0.71875,0.5625
1063,0.65625,0.5625
1064,0.6875,0.59375
1065,0.8125,0.46875
1066,0.78125,0.4375
1067,0.84375,0.4375
1068,0.8125,0.40625
1069,0.8125,0.53125
1070,0.78125,0.5625
1071,0.84375,0.5625
1072,0.8125,0.59375
1073,0.53125,0.6875
1074,0.5625,0.71875
1075,0.5625,0.65625
1076,0.59375,0.6875
1077,0.46875,0.6875
1078,0.4375,0.71875
1079,0.4375,0.65625
1080,0.40625,0.6875
1081,0.53125,0.8125
1082,0.5625,0.78125
1083,0.5625,0.84375
1084,0.59375,0.8125
1085,0.46875,0.8125
1086,0.4375,0.78125
1087,0.4375,0.84375
1088,0.40625,0.8125
1089,0.015625,0.015625
1090,0.984375,0.015625
1091,0.984375,0.984375
1092,0.015625,0.984375
1093,0.484375,0.484375
1094,0.515625,0.484375
1095,0.515625,0.515625
1096,0.484375,0.515625
1097,0.484375,0.015625
1098,0.515625,0.015625
1099,0.015625,0.484375
1100,0.015625,0.515625
1101,0.984375,0.484375
1102,0.984375,0.515625
1103,0.515625,0.984375
1104,0.484375,0.984375
1105,0.234375,0.234375
1106,0.265625,0.265625
1107,0.265625,0.234375
1108,0.234375,0.265625
1109,0.765625,0.234375
1110,0.734375,0.265625
1111,0.734375,0.234375
1112,0.765625,0.265625
1113,0.765625,0.765625
1114,0.734375,0.734375
1115,0.765625,0.734375
1116,0.734375,0.765625
1117,0.234375,0.765625
1118,0.265625,0.734375
1119,0.234375,0.734375
1120,0.265625,0.765625
1121,0.234375,0.015625
1122,0.265625,0.015625
1123,0.015625,0.234375
1124,0.015625,0.265625
1125,0.765625,0.015625
1126,0.734375,0.015625
1127,0.984375,0.234375
1128,0.984375,0.265625
1129,0.984375,0.765625
1130,0.984375,0.734375
1131,0.765625,0.984375
1132,0.734375,0.984375
1133,0.015625,0.765625
1134,0.015625,0.734375
1135,0.234375,0.984375
1136,0.265625,0.984375
1137,0.484375,0.265625
