node_id,x,y,p1_real,p1_imag,lod_coefficient_real,lod_coefficient_imag
34,0.625,0.125,0.02570086503719687,-0.17067267611728673,0.051961591276862049,-0.16188045028743836
35,0.125,0.375,0.087423711194672654,0.14142664451159365,0.11148748181573069,0.13425135823686302
36,0.125,0.625,0.087423711194672682,0.1414266445115939,0.1114874818157289,0.13425135823686832
37,0.875,0.375,0.14092306188975293,0.040049017929857447,0.11660851608631322,0.12979618546944816
38,0.875,0.625,0.14092306188975251,0.04004901792985785,0.11660851608631986,0.12979618546945199
39,0.625,0.875,0.025700865037197356,-0.17067267611728701,0.051961591276870805,-0.16188045028743567
40,0.375,0.875,-0.1540299430000763,0.027222234302612617,-0.16771190783605527,0.027858240121693342
41,0.125,0,-0.003726801398484688,-0.004273532416888757,-0.0011472543229670831,-0.0035317932803997248
42,0,0.125,-0.0035250633740758841,-0.0017616647245750751,-0.0023367063922070897,-0.0034993715011047612
43,0.875,0,0.033024092967237892,-0.0011995977472155433,-0.003318565571848247,-0.0016426101838757947
44,1,0.125,0.038948746747029861,0.011254497269158609,-0.0031062292770064484,-0.002816151611852738
45,1,0.875,0.038948746747029285,0.011254497269158465,-0.0031062292770102106,-0.0028161516118487932
46,0.875,1,0.033024092967237469,-0.0011995977472152159,-0.0033185655718518041,-0.0016426101838705538
47,0,0.875,-0.0035250633740760255,-0.0017616647245752974,-0.0023367063922089459,-0.0034993715011067644
48,0.125,1,-0.0037268013984849174,-0.0042735324168889409,-0.0011472543229681107,-0.0035317932804015224
49,0.5,0.375,-0.58597717625083279,-0.61876294757310812,-0.61120491164333512,-0.707632780459301
50,0.375,0.5,-0.8420673988866062,0.15252572462792147,-0.92334865431518032,0.1504400637570058
51,0.625,0.5,0.17759230171038326,-0.82774175020058105,0.28313187009832813,-0.89164249944953178
52,0.5,0.625,-0.58597717625083257,-0.61876294757310779,-0.61120491164333279,-0.70763278045930944
53,0.375,0,0.0091889873757109268,0.0028090463316528124,0.015083666134881596,-0.0014594349777446957
54,0.625,0,-0.0055939625247267213,-0.012555809480079798,-0.0036221685700913715,0.014711776767462865
55,0.5,0.125,-0.12731127095723174,-0.13214680234393072,-0.12648502845503626,-0.1464468734193915
56,0,0.375,-0.00545576846059559,0.00059308663173520445,-0.0093624140720443942,-0.015331843442870086
57,0,0.625,-0.0054557684605957609,0.0005930866317352836,-0.0093624140720476763,-0.015331843442869232
58,0.125,0.5,0.10044835005865303,0.16195618711078119,0.12691450927893264,0.15292761443095765
59,1,0.375,0.062652938737725275,-0.020414358772089247,-0.013772307542367832,-0.011504537199714972
60,1,0.625,0.062652938737724762,-0.020414358772089379,-0.013772307542367492,-0.011504537199710551
61,0.875,0.5,0.15501689110996902,0.049115682524893949,0.13283956168706981,0.14777134507469658
62,0.625,1,-0.005593962524726174,-0.0125558094800801,-0.003622168570088962,0.014711776767468673
63,0.375,1,0.0091889873757097264,0.0028090463316519524,0.015083666134881251,-0.0014594349777451686
64,0.5,0.875,-0.12731127095723241,-0.13214680234393117,-0.12648502845503368,-0.1464468734193955
65,0.25,0.125,-0.042174823739974963,0.09082308921919563,-0.039480677910107398,0.10108021328788656
66,0.125,0.25,0.053435019941518162,0.088497976933575043,0.071118951763136248,0.085286824103404435
67,0.375,0.25,-0.47063287729139602,0.083317321961717761,-0.51613489148981939,0.084283253547746156
68,0.25,0.375,-0.19220837875060517,0.44866529048468179,-0.19454579888997342,0.48711022958488964
69,0.75,0.125,0.096972264993058055,-0.069599131928832825,0.10575192150577391,-0.024364978959636567
70,0.875,0.25,0.10324497972251084,0.017278021248527259,0.074042398459356659,0.082746346999668957
71,0.625,0.25,0.095966346034606353,-0.47472583501432392,0.15845797596433497,-0.49838844663837611
72,0.75,0.375,0.42087630645333202,-0.19502963056487105,0.51020447603553531,-0.1216394832634415
73,0.875,0.75,0.10324497972251047,0.017278021248527942,0.074042398459360823,0.082746346999674189
74,0.75,0.875,0.096972264993058527,-0.069599131928832145,0.10575192150578204,-0.024364978959630329
75,0.75,0.625,0.42087630645333235,-0.19502963056487066,0.51020447603555186,-0.12163948326344587
76,0.625,0.75,0.095966346034606881,-0.47472583501432397,0.15845797596434918,-0.49838844663837956
77,0.125,0.75,0.053435019941518093,0.088497976933575348,0.071118951763132446,0.08528682410340778
78,0.25,0.875,-0.042174823739975692,0.090823089219196185,-0.039480677910108994,0.10108021328788698
79,0.25,0.625,-0.19220837875060509,0.44866529048468246,-0.19454579888997839,0.48711022958489902
80,0.375,0.75,-0.47063287729139652,0.083317321961718663,-0.51613489148981639,0.084283253547747031
81,0.0625,0.0625,-0.00023040902291292765,0.0017913085199043166,0.002198290236235992,0.00033379852682048074
82,0.9375,0.0625,0.036635230828720035,0.0075135365105359836,2.2157752966212636e-05,0.0022268625564350075
83,0.9375,0.9375,0.036635230828719535,0.0075135365105361155,2.2157752963117229e-05,0.0022268625564394952
84,0.0625,0.9375,-0.00023040902291307212,0.0017913085199041342,0.0021982902362345765,0.00033379852681876115
85,0.4375,0.4375,-0.81128967849295297,-0.27604963635996721,-0.91181133502370348,-0.33576433503230002
86,0.5625,0.4375,-0.23850810193923302,-0.8225360454115952,-0.19957073545335982,-0.95094955991498287
87,0.5625,0.5625,-0.23850810193923289,-0.8225360454115952,-0.19957073545335513,-0.95094955991498409
88,0.4375,0.5625,-0.81128967849295264,-0.27604963635996693,-0.91181133502369882,-0.33576433503230174
89,0.4375,0.0625,-0.050791522109982591,-0.015614257196445158,-0.044877777107940019,-0.016296820821291382
90,0.5625,0.0625,-0.022564548226849238,-0.059231623175040125,-0.0095857499411448246,-0.046776137461273952
91,0.0625,0.4375,0.042743574779860384,0.045261718233014794,0.046412260684956248,0.015803924490895203
92,0.0625,0.5625,0.042743574779860377,0.045261718233014905,0.046412260684954541,0.015803924490896352
93,0.9375,0.4375,0.078628467167765254,0.0010745479837082177,0.0089061569785486207,0.048188259591367862
94,0.9375,0.5625,0.07862846716776499,0.0010745479837082691,0.0089061569785513408,0.048188259591370776
95,0.5625,0.9375,-0.022564548226849224,-0.059231623175040791,-0.0095857499411407532,-0.046776137461272391
96,0.4375,0.9375,-0.050791522109983687,-0.015614257196445828,-0.044877777107939242,-0.016296820821292485
97,0.1875,0.1875,-0.003514945577545643,0.12895300717788946,0.016460657989813166,0.13968466286201808
98,0.3125,0.3125,-0.40467797464508592,0.29919515663891272,-0.44475774293902692,0.34573016085676384
99,0.3125,0.1875,-0.2037707303227457,0.14851061590565548,-0.22198729228753772,0.17280888093074201
100,0.1875,0.3125,-0.0016765511846088381,0.26016516663540934,0.03250654608120801,0.27981434316783638
101,0.8125,0.1875,0.13627755039300674,-0.031107079038957465,0.13580677449510201,0.036589440166078104
102,0.6875,0.3125,0.29608074038241738,-0.40241583428925781,0.40673148665403208,-0.38974463891201871
103,0.6875,0.1875,0.14830361099392755,-0.21873061338519514,0.20325824593827496,-0.19449661359712417
104,0.8125,0.3125,0.24670483443757724,-0.030008627765445699,0.27210041759536108,0.072837502791414793
105,0.8125,0.8125,0.13627755039300676,-0.031107079038956629,0.13580677449510939,0.036589440166084924
106,0.6875,0.6875,0.29608074038241788,-0.40241583428925737,0.40673148665404957,-0.38974463891202688
107,0.8125,0.6875,0.24670483443757721,-0.030008627765445023,0.27210041759536918,0.072837502791416556
108,0.6875,0.8125,0.14830361099392816,-0.21873061338519487,0.20325824593828648,-0.19449661359712142
109,0.1875,0.8125,-0.003514945577545892,0.12895300717789002,0.016460657989809686,0.13968466286201922
110,0.3125,0.6875,-0.40467797464508609,0.29919515663891366,-0.44475774293903053,0.34573016085676977
111,0.1875,0.6875,-0.0016765511846088689,0.26016516663540995,0.03250654608120393,0.27981434316784126
112,0.3125,0.8125,-0.20377073032274651,0.14851061590565631,-0.22198729228753786,0.17280888093074295
113,0.1875,0.0625,-0.0042039139572707315,0.018353585285732613,0.0027548209114900057,0.017899807716660755
114,0.3125,0.0625,-0.032046331133574552,0.022247074634363241,-0.028340797142640369,0.022749041275388987
115,0.0625,0.1875,0.013476966927825832,0.015669379141459105,0.017612864425633631,0.0058324145896811895
116,0.0625,0.3125,0.031325064871322437,0.033307113322813865,0.035325206104635812,0.011983201285220124
117,0.8125,0.0625,0.04396109419187904,-0.025345324983093914,0.017318002087181331,0.0053280879785343876
118,0.6875,0.0625,0.024821782443492535,-0.058910134382130046,0.026638250127742638,-0.024731919494130606
119,0.9375,0.1875,0.054369933754899152,-0.00033434404698016882,0.0032262126747263182,0.018265493564145894
120,0.9375,0.3125,0.069953522101147761,-0.00020471318810723089,0.0067380143972512359,0.036671543545138748
121,0.9375,0.8125,0.054369933754898563,-0.0003343440469798957,0.0032262126747264128,0.01826549356415175
122,0.9375,0.6875,0.069953522101147178,-0.00020471318810701957,0.0067380143972535491,0.036671543545143626
123,0.8125,0.9375,0.04396109419187904,-0.025345324983093262,0.017318002087182767,0.0053280879785418183
124,0.6875,0.9375,0.024821782443493097,-0.058910134382129872,0.026638250127747117,-0.024731919494123757
125,0.0625,0.8125,0.013476966927825655,0.015669379141459074,0.017612864425630318,0.0058324145896812224
126,0.0625,0.6875,0.031325064871322333,0.033307113322813976,0.035325206104631905,0.011983201285222915
127,0.1875,0.9375,-0.0042039139572712277,0.018353585285732704,0.0027548209114882957,0.01789980771666011
128,0.3125,0.9375,-0.032046331133575717,0.022247074634363262,-0.028340797142642368,0.022749041275388789
129,0.4375,0.3125,-0.61849017828038344,-0.21183438102909968,-0.69418973895737346,-0.25560332948442038
130,0.5625,0.3125,-0.18349946998565836,-0.63090986447898989,-0.1519128513537758,-0.72398568783082151
131,0.4375,0.1875,-0.31175673645862179,-0.10757004392505663,-0.34670583848777375,-0.12758045697110082
132,0.5625,0.1875,-0.096611329301995494,-0.32364450645436493,-0.075789843862705056,-0.36157940896638224
133,0.3125,0.4375,-0.53086077326047987,0.3947277922645932,-0.58424451340167316,0.45405565014830551
134,0.3125,0.5625,-0.53086077326047965,0.39472779226459354,-0.58424451340166927,0.45405565014830429
135,0.1875,0.4375,-0.00045566806351115359,0.34336921719803376,0.042602473963581571,0.36756107424123013
136,0.1875,0.5625,-0.00045566806351100809,0.34336921719803393,0.042602473963580273,0.36756107424123324
137,0.6875,0.4375,0.38848568611193857,-0.51663416733500922,0.53418564009406844,-0.51198962895852929
138,0.6875,0.5625,0.38848568611193873,-0.51663416733500922,0.53418564009407887,-0.51198962895853362
139,0.8125,0.4375,0.3156647045438617,-0.028059735968547231,0.35743690808134981,0.095583906456936707
140,0.8125,0.5625,0.31566470454386159,-0.028059735968546957,0.35743690808135242,0.095583906456936513
141,0.5625,0.6875,-0.18349946998565811,-0.63090986447898978,-0.15191285135376614,-0.72398568783082218
142,0.4375,0.6875,-0.61849017828038322,-0.21183438102909899,-0.69418973895736713,-0.25560332948442194
143,0.5625,0.8125,-0.096611329301995411,-0.32364450645436527,-0.075789843862698131,-0.36157940896638324
144,0.4375,0.8125,-0.31175673645862273,-0.10757004392505644,-0.34670583848776898,-0.12758045697110273
