node_id,x,y,lod_real,lod_imag,lod_abs,coarse_scale_real,coarse_scale_imag,correction_real,correction_imag,p1_real,p1_imag,exact_real,exact_imag,lod_point_error_abs,p1_point_error_abs,fine_reference_real,fine_reference_imag
1595,0.546875,0.828125,-0.1048864819446651,-0.29928945146556496,0.31713616926059901,-0.089597284915434075,-0.30566045915872952,-0.015289197029231025,0.0063710076931645654,-0.10428631471580466,-0.27577008042675699,-0.10542154677687014,-0.30051594053411285,0.001338121747050721,0.024771886167292489,-0.10639205294502425,-0.29869558416614883
1596,0.578125,0.796875,-0.035975822776085756,-0.39423777069587973,0.39587583870157239,-0.019581824782078976,-0.39342309363458605,-0.01639399799400678,-0.00081467706129367823,-0.048466910467844918,-0.36141483859435514,-0.034822661856593523,-0.39746397747504492,0.0034261042436235906,0.038544856131589013,-0.036910773529204334,-0.39543487590295423
1597,0.453125,0.796875,-0.36183086247431157,-0.19051743116680453,0.40892354373073492,-0.35532544259533116,-0.20613714309257103,-0.0065054198789804007,0.0156197119257665,-0.32758662686416906,-0.17986235940732229,-0.36467571644085017,-0.19143630435438078,0.0029895688695490827,0.038853014905726638,-0.36298767924707376,-0.18956473711025451
1598,0.421875,0.828125,-0.29893781742986142,-0.07193766386409095,0.30747169979032557,-0.3000490039156315,-0.087676174284995786,0.0011111864857700771,0.015738510420904836,-0.27232503809398612,-0.073871974368139498,-0.30014374450231984,-0.07135629200322581,0.0013387506656184864,0.027932223040678408,-0.29851199408914003,-0.070470314094202624
1599,0.453125,0.828125,-0.28153601285891461,-0.14516897619516611,0.3167594642406879,-0.29001563252157186,-0.13091552499325801,0.0084796196626572562,-0.014253451201908102,-0.26564537008327516,-0.11371423352977544,-0.28197908538901545,-0.14802475618322977,0.002889946817357518,0.038000029216333206,-0.28072190580209966,-0.14657885827900621
1600,0.421875,0.796875,-0.38498956493093706,-0.090040896383019098,0.39537871481298759,-0.38650897696034947,-0.073654774698513767,0.0015194120294124147,-0.016386121684505331,-0.35147577166681626,-0.059848202453362989,-0.3881675653732255,-0.092283109837523317,0.0038893711556941021,0.048972552949716135,-0.38603456635821998,-0.091145457933302323
1601,0.046875,0.015625,0.00011560910651934477,-0.00083535729134382375,0.00084331919799770431,-9.8364250999716111e-05,-0.0010081661910340263,0.00021397335751906088,0.00017280889969020254,-0.0015135847101989562,-0.0015456555919178719,0.00011248727254372089,4.4277979926598297e-05,0.00087964081096227021,0.0022742029056218391,3.531626051237682e-05,-1.9925578298102046e-05
1602,0.078125,0.015625,0.00059686477614372233,-0.0019585772810983854,0.0020475039748522688,-0.0002480206645489565,-0.0017863513647305199,0.00084488544069267883,-0.00017222591636786551,-0.0021831440073953458,-0.002151488887304182,0.00025475716563054735,0.00018380333123338272,0.0021695235203302307,0.0033759371847537577,0.00013610778046458671,0.00012281011969730258
1603,0.015625,0.046875,-0.00048878945220918969,-0.00068383194618442116,0.00084056008661685384,-0.00032279322498276856,-0.00099953536630346517,-0.00016599622722642112,0.00031570342011904401,-0.0014631502040967504,-0.00091768866883944807,0.00011994486319359463,1.5071688166076534e-05,0.00092683534506255783,0.0018374525505928298,8.0118201910816267e-05,-4.8860654930597889e-05
1604,0.015625,0.078125,-0.0010971182711412425,-0.0013289032784280803,0.0017232679490691077,-0.00069687861251506141,-0.0017690897152693977,-0.00040023965862618109,0.00044018643684131742,-0.0020822749951909343,-0.00089555504114733502,0.00031169045714779699,3.9165506962071439e-05,0.0019637602283533156,0.0025699753092295139,0.00029427488011957197,-9.4764000299759569e-06
