iteration,element,id,parent_id,level,n0,n1,n2,x0,y0,x1,y1,x2,y2
4,44,90,9,5,29,28,9,0.125,0.125,0.25,0,0.25,0.25
4,45,91,17,6,35,32,16,0.375,0.25,0.375,0.125,0.5,0.25
4,46,92,9,5,32,28,5,0.375,0.125,0.25,0,0.5,0
4,47,93,33,6,34,29,9,0.125,0.25,0.125,0.125,0.25,0.25
4,48,96,9,5,29,0,28,0.125,0.125,0,0,0.25,0
4,49,97,17,6,35,9,32,0.375,0.25,0.25,0.25,0.375,0.125
4,50,98,9,5,32,9,28,0.375,0.125,0.25,0.25,0.25,0
4,51,99,33,6,34,13,29,0.125,0.25,0,0.25,0.125,0.125
4,52,100,35,6,37,16,33,0.625,0.25,0.5,0.25,0.625,0.125
4,53,101,80,5,39,30,1,0.875,0.125,0.75,0,1,0
4,54,102,83,7,43,37,10,0.6875,0.3125,0.625,0.25,0.75,0.25
4,55,103,89,6,44,33,30,0.75,0.125,0.625,0.125,0.75,0
4,56,104,94,7,45,37,33,0.6875,0.1875,0.625,0.25,0.625,0.125
4,57,105,95,6,40,33,5,0.625,0,0.625,0.125,0.5,0
4,58,106,20,5,41,7,18,0.875,0.375,1,0.5,0.75,0.5
4,59,107,66,6,42,18,22,0.75,0.375,0.75,0.5,0.625,0.375
4,60,108,83,7,43,22,37,0.6875,0.3125,0.625,0.375,0.625,0.25
4,61,109,94,7,45,10,37,0.6875,0.1875,0.75,0.25,0.625,0.25
4,62,110,95,6,40,30,33,0.625,0,0.75,0,0.625,0.125
4,63,111,12,5,39,38,10,0.875,0.125,1,0.25,0.75,0.25
4,64,112,20,6,42,41,18,0.75,0.375,0.875,0.375,0.75,0.5
4,65,113,66,7,43,42,22,0.6875,0.3125,0.75,0.375,0.625,0.375
4,66,114,12,5,41,38,7,0.875,0.375,1,0.25,1,0.5
4,67,115,80,6,44,39,10,0.75,0.125,0.875,0.125,0.75,0.25
4,68,116,89,7,45,44,10,0.6875,0.1875,0.75,0.125,0.75,0.25
4,69,117,12,5,39,1,38,0.875,0.125,1,0,1,0.25
4,70,118,20,6,42,10,41,0.75,0.375,0.75,0.25,0.875,0.375
4,71,119,66,7,43,10,42,0.6875,0.3125,0.75,0.25,0.75,0.375
4,72,120,12,5,41,10,38,0.875,0.375,0.75,0.25,1,0.25
4,73,121,80,6,44,30,39,0.75,0.125,0.75,0,0.875,0.125
4,74,122,89,7,45,33,44,0.6875,0.1875,0.625,0.125,0.75,0.125
5,0,39,19,5,26,17,12,0.125,0.625,0.25,0.5,0.25,0.75
5,1,40,21,5,27,15,12,0.375,0.875,0.25,1,0.25,0.75
5,2,42,23,5,20,14,12,0.125,0.875,0,0.75,0.25,0.75
5,3,49,30,5,24,17,4,0.375,0.625,0.25,0.5,0.5,0.5
5,4,50,31,5,22,18,4,0.625,0.375,0.75,0.5,0.5,0.5
5,5,51,32,5,20,15,3,0.125,0.875,0.25,1,0,1
5,6,52,34,5,26,14,6,0.125,0.625,0,0.75,0,0.5
5,7,54,37,5,25,17,6,0.125,0.375,0.25,0.5,0,0.5
