iteration,element,id,parent_id,level,n0,n1,n2,x0,y0,x1,y1,x2,y2
5,35,53,37,8,26,9,22,0.3125,0.25,0.25,0.25,0.3125,0.1875
5,36,54,30,6,24,23,9,0.25,0.375,0.125,0.375,0.25,0.25
5,37,55,32,7,25,24,9,0.3125,0.3125,0.25,0.375,0.25,0.25
5,38,56,33,8,26,25,9,0.3125,0.25,0.3125,0.3125,0.25,0.25
5,39,57,30,6,24,16,23,0.25,0.375,0.25,0.5,0.125,0.375
5,40,58,32,7,25,17,24,0.3125,0.3125,0.375,0.375,0.25,0.375
5,41,59,33,8,26,18,25,0.3125,0.25,0.375,0.25,0.3125,0.3125
6,0,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
6,1,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
6,2,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
6,3,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
6,4,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
6,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
6,6,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
6,7,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
6,8,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
6,9,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
6,10,18,13,4,13,10,4,0.5,0.25,0.75,0.25,0.5,0.5
6,11,20,13,4,13,5,10,0.5,0.25,0.5,0,0.75,0.25
6,12,23,17,5,15,5,13,0.375,0.125,0.5,0,0.5,0.25
6,13,24,9,5,15,14,5,0.375,0.125,0.25,0,0.5,0
6,14,26,3,4,16,12,6,0.25,0.5,0.25,0.75,0,0.5
6,15,27,19,5,17,13,4,0.375,0.375,0.5,0.25,0.5,0.5
6,16,28,22,6,18,15,13,0.375,0.25,0.375,0.125,0.5,0.25
6,17,29,3,4,16,4,12,0.25,0.5,0.5,0.5,0.25,0.75
6,18,34,15,5,17,4,16,0.375,0.375,0.5,0.5,0.25,0.5
6,19,35,19,6,18,13,17,0.375,0.25,0.5,0.25,0.375,0.375
6,20,38,21,5,20,0,14,0.125,0.125,0,0,0.25,0
6,21,39,25,6,21,14,15,0.25,0.125,0.25,0,0.375,0.125
6,22,40,31,7,22,15,18,0.3125,0.1875,0.375,0.125,0.375,0.25
6,23,41,21,6,21,20,14,0.25,0.125,0.125,0.125,0.25,0
6,24,42,25,7,22,21,15,0.3125,0.1875,0.25,0.125,0.375,0.125
6,25,43,7,5,20,19,0,0.125,0.125,0,0.25,0,0
6,26,47,30,5,23,16,6,0.125,0.375,0.25,0.5,0,0.5
6,27,48,32,6,24,17,16,0.25,0.375,0.375,0.375,0.25,0.5
6,28,49,33,7,25,18,17,0.3125,0.3125,0.375,0.25,0.375,0.375
6,29,51,37,8,26,22,18,0.3125,0.25,0.3125,0.1875,0.375,0.25
6,30,52,36,5,23,6,19,0.125,0.375,0,0.5,0,0.25
6,31,54,30,6,24,23,9,0.25,0.375,0.125,0.375,0.25,0.25
6,32,55,32,7,25,24,9,0.3125,0.3125,0.25,0.375,0.25,0.25
6,33,56,33,8,26,25,9,0.3125,0.25,0.3125,0.3125,0.25,0.25
6,34,57,30,6,24,16,23,0.25,0.375,0.25,0.5,0.125,0.375
6,35,58,32,7,25,17,24,0.3125,0.3125,0.375,0.375,0.25,0.375
6,36,59,33,8,26,18,25,0.3125,0.25,0.375,0.25,0.3125,0.3125
6,37,60,50,6,27,23,19,0.125,0.25,0.125,0.375,0,0.25
6,38,61,53,9,30,26,9,0.28125,0.21875,0.3125,0.25,0.25,0.25
6,39,62,44,7,28,20,21,0.1875,0.1875,0.125,0.125,0.25,0.125
6,40,63,45,8,29,21,22,0.25,0.1875,0.25,0.125,0.3125,0.1875
6,41,64,46,6,27,19,20,0.125,0.25,0,0.25,0.125,0.125
6,42,65,50,6,27,9,23,0.125,0.25,0.25,0.25,0.125,0.375
6,43,66,53,9,30,22,26,0.28125,0.21875,0.3125,0.1875,0.3125,0.25
6,44,67,44,8,29,28,21,0.25,0.1875,0.1875,0.1875,0.25,0.125
6,45,68,45,9,30,29,22,0.28125,0.21875,0.25,0.1875,0.3125,0.1875
6,46,69,46,7,28,27,20,0.1875,0.1875,0.125,0.25,0.125,0.125
6,47,70,44,8,29,9,28,0.25,0.1875,0.25,0.25,0.1875,0.1875
6,48,71,45,9,30,9,29,0.28125,0.21875,0.25,0.25,0.25,0.1875
6,49,72,46,7,28,9,27,0.1875,0.1875,0.25,0.25,0.125,0.25
