schema_version,case,method,kappa,run_id,reference_epoch,H_step,iteration,action,stop_reason,N_H,DoF_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,exact_energy_error,exact_L2_error,relative_exact_energy_error,relative_exact_L2_error,reference_error_ratio,reference_log_improvement,reference_dof_log_slope,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,10,21,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=3.1504487021565749e-15,832,815,0,,,4,,,4.6049549711825382,,,,,1.0152723020562819,0.027134524406130567,0.23873504965861203,0.17090015955861348,,,,388,0,0,0,0,0,0.026813436999999999,0.024048482999999999,0.22188330300000003,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,11,22,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,1131,1111,0,,,4,,,0,,,,,,,,,,,,388,0,0,0.0046674810000000002,0,0,0,0,0.22657057400000002,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,11,23,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=3.524394519936817e-15,1131,1111,0,,,4,,,3.8136163062968178,,,,,0.77892025008828225,0.017503415835568539,0.18315832787588859,0.11024097988352459,,,,554,0,0,0,0,0,0.037071947000000001,0.033049515000000002,0.29672833600000004,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,12,24,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,1531,1508,0,,,4,,,0,,,,,,,,,,,,554,0,0,0.0064581669999999999,0,0,0,0,0.30321250299999997,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,12,25,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=4.2526221189582024e-15,1531,1508,0,,,4,,,3.210027326183027,,,,,0.64507990522945491,0.013058205512087208,0.1516865961577088,0.082243910829603958,,,,789,0,0,0,0,0,0.051524518999999998,0.045732670000000003,0.40051447200000007,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,13,26,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,2080,2053,0,,,4,,,0,,,,,,,,,,,,789,0,0,0.0089307929999999994,0,0,0,0,0.40948011500000014,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,13,27,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=4.8303320922043244e-15,2080,2053,0,,,4,,,2.7037770425360064,,,,,0.53262176321790233,0.010133036338271346,0.12524275730225484,0.063820448856695286,,,,1128,0,0,0,0,0,0.071846308999999997,0.063210384999999994,0.54459031899999999,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,14,28,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,2824,2795,0,,,4,,,0,,,,,,,,,,,,1128,0,0,0.011837947,0,0,0,0,0.556474256,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,14,29,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=6.1713692696656469e-15,2824,2795,0,,,4,,,2.2608428322272807,,,,,0.43092902318141707,0.0067930236154137586,0.1013303327755945,0.042784196341400994,,,,1626,0,0,0,0,0,0.10010530300000001,0.086906859000000003,0.74355192800000003,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,15,30,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,3895,3861,0,,,4,,,0,,,,,,,,,,,,1626,0,0,0.016824836999999999,0,0,0,0,0.76043838399999997,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,15,31,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=7.1896495381573776e-15,3895,3861,0,,,4,,,1.8970765520230184,,,,,0.3512639165868745,0.0043937101842307178,0.082597570434753534,0.027672708035811698,,,,2285,0,0,0,0,0,0.140238055,0.121177432,1.02193493,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,16,32,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,5329,5289,0,,,4,,,0,,,,,,,,,,,,2285,0,0,0.023744972999999999,0,0,0,0,1.0457669729999999,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,16,33,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=9.0457991760673633e-15,5329,5289,0,,,4,,,1.6044223418516268,,,,,0.29626022442732264,0.003245977235011631,0.069663788806526641,0.02044399301478694,,,,3293,0,0,0,0,0,0.19624963400000001,0.16777115100000001,1.4098930980000002,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,17,34,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,7343,7296,0,,,4,,,0,,,,,,,,,,,,3293,0,0,0.033877864000000001,0,0,0,0,1.4438910310000002,1055.18359375
