schema_version,case,method,kappa,run_id,reference_epoch,iteration,action,stop_reason,N_H,DoF_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,exact_energy_error,exact_L2_error,relative_exact_energy_error,relative_exact_L2_error,reference_error_ratio,reference_log_improvement,reference_dof_log_slope,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,31,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=7.1896495381573776e-15,3895,3861,788481,,,4,,,1.8970765520230184,,,0.07972594555312551,0.02709794781286267,0.35126234905150783,0.0043937101821775815,0.08259720582113135,0.02767270802297421,0.80567410548605956,0.21607595386643522,0.67200467797660468,2285,0,0,0,0,0,0.14637212199999999,0.121488032,212.47704724099992,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,32,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,5329,5289,788481,,,4,,,0,,,,,,,,,,,,2285,0,0,13.996568996000001,0,0,0,0,226.47372295599996,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,33,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=9.0457991760673633e-15,5329,5289,788481,,,4,,,1.6044223418516268,,,0.066267869695052412,0.019872378824914608,0.29625924441125467,0.0032459772340444767,0.069663560165570265,0.020443993008755022,0.8311957824431786,0.18488991326776608,0.58981707371876546,3293,0,0,0,0,0,0.201327277,0.167597093,226.84336930199993,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,34,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,7343,7296,788481,,,4,,,0,,,,,,,,,,,,3293,0,0,14.261207665000001,0,0,0,0,241.10472029599993,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,35,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=1.0253122691988472e-14,7343,7296,788481,,,4,,,1.3589417471103633,,,0.05478531040308865,0.015570154352257838,0.2501770643510467,0.0025635603040574878,0.058827615688750473,0.016145957027668745,0.82672508796791677,0.19028306005935977,0.59355156265255471,4549,0,0,0,0,0,0.28004876899999998,0.2325971,241.61812535099995,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,36,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,10079,10026,788481,,,4,,,0,,,,,,,,,,,,4549,0,0,14.296743348,0,0,0,0,255.915061068,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,37,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=1.2441690607795265e-14,10079,10026,788481,,,4,,,1.1464640452004677,,,0.043890359935209393,0.01083822908322438,0.20758231015895831,0.0018119060358821352,0.048811718202428862,0.011411846620975974,0.80113372749522604,0.22172739516781009,0.70010354737895775,6488,0,0,0,0,0,0.39049698900000002,0.32076780999999999,256.62712944399993,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,38,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,13961,13897,788481,,,4,,,0,,,,,,,,,,,,6488,0,0,14.29569498,0,0,0,0,270.92309016299993,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,39,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=1.4598982438673861e-14,13961,13897,788481,,,4,,,0.97394378394280035,,,0.035220345895807199,0.007001713986455823,0.17504532584332685,0.0012039925567826548,0.041160844154658219,0.0075830523872122786,0.80246199729961654,0.22007078048915393,0.67544979315439813,8921,0,0,0,0,0,0.54412038699999998,0.44730634499999999,271.91539967199998,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,40,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,19044,18973,788481,,,4,,,0,,,,,,,,,,,,8921,0,0,14.182781131,0,0,0,0,286.09854471099999,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,41,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=1.7626064823071043e-14,19044,18973,788481,,,4,,,0.83078008415180871,,,0.027988813994217293,0.0050789587218499407,0.14950121283057699,0.00089729703627854465,0.035154301279426932,0.0056514057289299554,0.79467743096609444,0.22981899387793811,0.7401950662385246,12388,0,0,0,0,0,0.77317266100000004,0.61498564,287.48769708799995,3494.94921875
